date_,close_msft,high_msft,low_msft,open_msft,volume_msft,symbol
2026-05-06,413.0653381347656,417.51572107575487,404.23445872829495,407.11822745622237,30285900,MSFT
2026-05-07,419.8606262207031,427.05506598481406,417.8549909144547,419.2020489501835,34942400,MSFT
2026-05-08,414.22283935546875,417.7252633012779,413.105264767488,416.48795292910256,33383800,MSFT
2026-05-11,411.7681579589844,411.79809190456297,404.6236285818644,406.9885016374445,35657900,MSFT
2026-05-12,406.8887023925781,414.6020070114768,405.76117016707224,413.58422243338293,38594200,MSFT
2026-05-13,404.3342590332031,405.4318878236479,400.1633000811369,402.3286237155428,29667100,MSFT
2026-05-14,408.5451354980469,410.94993067744383,400.013625877668,403.6058516736889,27077500,MSFT
2026-05-15,421.0081481933594,427.24464052002446,412.01761111071977,413.3746572242232,50771200,MSFT
2026-05-18,422.6246643066406,424.2012362508279,414.7117792841577,415.71960624154525,32564100,MSFT
2026-05-19,416.51788330078125,431.7648588737268,415.58987007798993,428.9708919761278,33018700,MSFT
2026-05-20,420.1499938964844,421.18775475321456,410.4110776678385,413.2749005432513,27864000,MSFT
2026-05-21,419.0899963378906,426.3399963378906,415.7099914550781,424.75,31393500,MSFT
2026-05-22,418.57000732421875,424.3999938964844,416.3299865722656,419.5400085449219,22390300,MSFT
2026-05-26,416.0299987792969,419.7699890136719,413.0199890136719,416.42999267578125,30398000,MSFT
2026-05-27,412.6700134277344,415.94000244140625,409.5799865722656,411.010009765625,28901500,MSFT
2026-05-28,426.989990234375,429.489990234375,412.6700134277344,412.9800109863281,47250500,MSFT
2026-05-29,450.239990234375,450.3299865722656,432.3599853515625,432.54998779296875,79654400,MSFT
2026-06-01,460.5199890136719,466.32000732421875,458.2699890136719,464.8399963378906,53628900,MSFT
2026-06-02,441.30999755859375,453.5,440.42999267578125,446.8800048828125,37036800,MSFT
2026-06-03,427.3399963378906,440.3900146484375,424.25,438.45001220703125,39037000,MSFT
2026-06-04,428.04998779296875,436.1499938964844,426.4100036621094,435.80999755859375,26899500,MSFT
2026-06-05,416.6700134277344,429.4700012207031,414.3999938964844,428.3399963378906,34782200,MSFT
2026-06-08,411.739990234375,417.1600036621094,408.55999755859375,414.1400146484375,32086700,MSFT
2026-06-09,403.4100036621094,411.9800109863281,398.4800109863281,409.0299987792969,35317300,MSFT
2026-06-10,397.3599853515625,405.0400085449219,397.1600036621094,398.54998779296875,32576000,MSFT
2026-06-11,390.3399963378906,396.8500061035156,384.0,395.2099914550781,47224100,MSFT
2026-06-12,390.739990234375,391.739990234375,382.2699890136719,391.42999267578125,34865800,MSFT
2026-06-15,399.760009765625,401.75,392.8500061035156,396.79998779296875,32266400,MSFT
2026-06-16,393.8299865722656,396.8399963378906,390.69000244140625,395.7900085449219,31506800,MSFT
2026-06-17,378.9100036621094,390.3699951171875,377.32000732421875,390.25,41987800,MSFT
2026-06-18,379.3999938964844,381.3699951171875,373.2799987792969,377.82000732421875,59714200,MSFT
2026-06-22,367.3399963378906,381.6300048828125,367.07000732421875,375.739990234375,45171100,MSFT
2026-06-23,373.94000244140625,377.2200012207031,370.6700134277344,372.3800048828125,40647600,MSFT
2026-06-24,365.4599914550781,378.8800048828125,364.7799987792969,371.57000732421875,44509900,MSFT
2026-06-25,352.8299865722656,364.2300109863281,349.20001220703125,362.7699890136719,66179000,MSFT
2026-06-26,372.9700012207031,376.6099853515625,355.42999267578125,357.1499938964844,186201600,MSFT
2026-06-29,368.57000732421875,380.5,359.8999938964844,377.5,51229900,MSFT
2026-06-30,373.0199890136719,374.1499938964844,367.45001220703125,371.0299987792969,44945700,MSFT
2026-07-01,384.2799987792969,388.8299865722656,374.8900146484375,380.8299865722656,48065800,MSFT
2026-07-02,390.489990234375,392.20001220703125,383.70001220703125,384.4800109863281,42128900,MSFT
2026-07-06,386.739990234375,389.1499938964844,381.2200012207031,387.0400085449219,34224500,MSFT
2026-07-07,388.8399963378906,395.57000732421875,388.2200012207031,392.489990234375,29297500,MSFT
2026-07-08,383.3399963378906,385.30999755859375,381.3299865722656,384.0299987792969,25908300,MSFT
2026-07-09,384.3599853515625,384.6499938964844,373.3500061035156,374.45001220703125,31083200,MSFT
2026-07-10,385.1000061035156,391.9100036621094,381.5,387.79998779296875,24644600,MSFT
2026-07-13,390.989990234375,393.6499938964844,384.1499938964844,387.75,28914900,MSFT
2026-07-14,384.92999267578125,388.19000244140625,378.6499938964844,382.82000732421875,27863900,MSFT
2026-07-15,395.6300048828125,398.9599914550781,386.3999938964844,387.79998779296875,36253700,MSFT
2026-07-16,401.1000061035156,405.989990234375,392.04998779296875,398.30999755859375,37047400,MSFT
2026-07-17,393.82000732421875,398.3900146484375,389.3900146484375,394.8599853515625,33049800,MSFT
2026-07-20,402.2900085449219,403.17999267578125,389.6499938964844,391.4100036621094,27915800,MSFT
2026-07-21,397.75,401.4700012207031,396.32000732421875,398.80999755859375,24126600,MSFT
2026-07-22,390.3399963378906,401.0,386.9599914550781,399.5799865722656,28142500,MSFT
2026-07-23,381.5799865722656,391.7799987792969,377.3900146484375,389.9700012207031,30351800,MSFT
2026-07-24,,,,,27640155,MSFT
